Country,CentroidCountry,ListingSection,SourceURL
Philippines,Philippines,FUNKO STORES,https://funko.com/gg/funko-blog-home/funko-event-edition.html
United Arab Emirates,United Arab Emirates,FUNKO STORES,https://funko.com/gg/funko-blog-home/funko-event-edition.html
United Kingdom,United Kingdom,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
France,France,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Germany,Germany,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Spain,Spain,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Italy,Italy,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Belgium,Belgium,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Netherlands,Netherlands,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Sweden,Sweden,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Denmark,Denmark,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Greece,Greece,EUROPE,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Singapore,Singapore,ASIA & PACIFIC,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Hong Kong,Hong Kong,ASIA & PACIFIC,https://funko.com/gg/funko-blog-home/funko-event-edition.html
China,China,ASIA & PACIFIC,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Japan,Japan,ASIA & PACIFIC,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Indonesia,Indonesia,ASIA & PACIFIC,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Malaysia,Malaysia,ASIA & PACIFIC,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Australia,Australia,ASIA & PACIFIC,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Brazil,Brazil,LATIN AMERICA,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Argentina,Argentina,LATIN AMERICA,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Mexico,Mexico,LATIN AMERICA,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Colombia,Colombia,LATIN AMERICA,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Peru,Peru,LATIN AMERICA,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Chile,Chile,LATIN AMERICA,https://funko.com/gg/funko-blog-home/funko-event-edition.html
Canada,Canada,CANADA,https://funko.com/gg/funko-blog-home/funko-event-edition.html
