Event,Venue,City,Country,Region,Dates,Latitude,Longitude,LocationPrecision
Funko Store Dubai Hills Mall,Dubai Hills Mall,Dubai,United Arab Emirates,Middle East,2–4 Oct 2026,25.1016,55.23968,Venue
Funko Store Dubai Mall,Dubai Mall,Dubai,United Arab Emirates,Middle East,2–4 Oct 2026,25.199514,55.277397,Venue
Funko Store Abu Dhabi Reem Mall,Reem Mall,Abu Dhabi,United Arab Emirates,Middle East,2–4 Oct 2026,24.48822,54.40031,Venue
Comic Con Stuttgart,Messe Stuttgart,Stuttgart,Germany,Europe,28–29 Nov 2026,48.6937,9.1869,Venue
Manga Barcelona,Fira Barcelona Gran Via,Barcelona,Spain,Europe,5–8 Dec 2026,41.3546,2.1281,Venue
Lucca Comics & Games,Lucca city festival area,Lucca,Italy,Europe,28 Oct–1 Nov 2026,43.8429,10.5027,City
Made in Asia,Brussels Expo,Brussels,Belgium,Europe,17–18 Oct 2026,50.899,4.337,Venue
Heroes Dutch Comic Con,Jaarbeurs Utrecht,Utrecht,Netherlands,Europe,21–22 Nov 2026,52.0888,5.1065,Venue
Heroes Comic Con Stockholm,Stockholmsmässan,Stockholm,Sweden,Europe,30 Oct–1 Nov 2026,59.27752,18.01509,Venue
Heroes Comic Con Denmark,Bella Center,Copenhagen,Denmark,Europe,7–8 Nov 2026,55.638,12.5787,Venue
AthensCon,Tae Kwon Do Olympic Arena,Athens,Greece,Europe,4–6 Dec 2026,37.941,23.6924,Venue
Singapore Comic Con,Marina Bay Sands Expo & Convention Centre,Singapore,Singapore,Asia & Pacific,4–6 Dec 2026,1.2836,103.8593,Venue
Wonder Festival Shanghai,Shanghai New International Expo Centre,Shanghai,China,Asia & Pacific,3–4 Oct 2026,31.2118,121.5637,Venue
Tokyo Comic Con,Makuhari Messe,Chiba,Japan,Asia & Pacific,11–13 Dec 2026,35.64704,140.03423,Venue
Indonesia Comic Con,JIExpo Kemayoran,Jakarta,Indonesia,Asia & Pacific,3–4 Oct 2026,-6.1467,106.8446,Venue
MY Funko POP! Fans Festival,"Sheldonet Toy Store, IOI City Mall",Sepang / Putrajaya area,Malaysia,Asia & Pacific,26 Oct–1 Nov 2026,2.96946,101.71421,Venue
Supanova Adelaide,Adelaide Showground,Adelaide,Australia,Asia & Pacific,30 Oct–1 Nov 2026,-34.9464,138.5887,Venue
Supanova Brisbane,Brisbane Convention & Exhibition Centre,Brisbane,Australia,Asia & Pacific,6–8 Nov 2026,-27.4766,153.018,Venue
Oz Comic Con Xmas Edition Melbourne,Melbourne Convention & Exhibition Centre,Melbourne,Australia,Asia & Pacific,5–6 Dec 2026,-37.8251,144.9531,Venue
CCXP,São Paulo Expo,São Paulo,Brazil,Latin America,3–6 Dec 2026,-23.6475,-46.6294,Venue
Argentina Comic Con,BA Ferial (Costa Salguero),Buenos Aires,Argentina,Latin America,4–6 Dec 2026,-34.5709,-58.3975,Venue
Sport Card Expo,The International Centre,Mississauga,Canada,Canada,5–8 Nov 2026,43.7038,-79.6377,Venue
Toronto Game Expo,"Better Living Centre, Exhibition Place",Toronto,Canada,Canada,7–8 Nov 2026,43.6323,-79.4221,Venue
