License,Franchise,Country,Region,Latitude,Longitude,CountryWikidata,CoordinateSource,FranchiseOriginSource
"""Bobs Big Boy""",Bobs Big Boy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Bram Stokers Dracula""",Bram Stokers Dracula,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Cap n Crunch""",Cap n Crunch,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Childs Play""",Childs Play,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Dexters Laboratory""",Dexters Laboratory,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Emperors New Groove""",Emperors New Groove,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Five Nights at Freddys""",Five Nights at Freddys,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Hersheys""",Hersheys,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Its a Small World""",Its a Small World,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""McDonalds""",McDonalds,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""National Lampoons Chistmas Vacation""",National Lampoons Chistmas Vacation,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Schitts Creek""",Schitts Creek,Canada,North America,60.0,-110.0,Q16,https://www.wikidata.org/wiki/Q16,https://www.wikidata.org/wiki/Q111427725
"""The Queens Gambit""",The Queens Gambit,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"""Tiny Tinas Wonderlands""",Tiny Tinas Wonderlands,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
101 Dalmatians,101 Dalmatians,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Aaliyah,Aaliyah,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
AC/DC,AC/DC,Australia,Asia-Pacific,-25.0,133.0,Q408,https://www.wikidata.org/wiki/Q408,https://www.wikidata.org/wiki/Q27593
Adventure Time,Adventure Time,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Aladdin,Ultimate Princess Collection","Aladdin,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Alice in Wonderland,Alice in Wonderland,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Alice in Wonderland,Disney Villains","Alice in Wonderland,Disney Villains",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Alien,Alien,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
American History,American History,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Apex Legends,Apex Legends,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"ASPCA,Back to the Future,Pops! With Purpose","ASPCA,Back to the Future,Pops! With Purpose",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"ASPCA,Pops! With Purpose,The Wizard of Oz","ASPCA,Pops! With Purpose,The Wizard of Oz",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Attack on Titan,Attack on Titan,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q22126305
Avatar The Last Airbender,Avatar The Last Airbender,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Avengers,Avengers,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Avengers Endgame,Iron Man","Avengers Endgame,Iron Man",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Avengers,Captain America","Avengers,Captain America",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Avengers,Gamerverse","Avengers,Gamerverse",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Avengers,Hulk","Avengers,Hulk",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Avengers,Iron Man","Avengers,Iron Man",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Avengers,Thor","Avengers,Thor",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Back to the Future,Back to the Future,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Bakugan,Bakugan,International / Multiple,Global,,,,,
"Batgirl,Batman,DC Comics Bombshells","Batgirl,Batman,DC Comics Bombshells",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Batman,Batman,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Batman,Catwoman","Batman,Catwoman",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Batman,Catwoman,DC Comics Bombshells","Batman,Catwoman,DC Comics Bombshells",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Batman,Poison Ivy,Pops! With Purpose","Batman,Poison Ivy,Pops! With Purpose",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Batman,Pops! With Purpose,Robin","Batman,Pops! With Purpose,Robin",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Batman,The Joker","Batman,The Joker",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Baymax,Baymax,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Beauty and the Beast,Beauty and the Beast,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Beauty and the Beast,Ultimate Princess Collection","Beauty and the Beast,Ultimate Princess Collection",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Beetlejuice,Beetlejuice,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Black Clover,Black Clover,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Bob Ross,Bob Ross,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Boba Fett,Star Wars,The Book of Boba Fett","Boba Fett,Star Wars,The Book of Boba Fett",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
Boo Hollow,Boo Hollow,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Boruto: Naruto Next Generations,Boruto: Naruto Next Generations,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q26971382
Boxing,Boxing,International / Multiple,Global,,,,,
Boyz II Men,Boyz II Men,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Bret Michaels,Bret Michaels,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Bride of Chucky,Bride of Chucky,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Britney Spears,Britney Spears,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Candyman,Candyman,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Captain America,Captain America,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Captain America,Infinity Saga","Captain America,Infinity Saga",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Captain America,What If","Captain America,What If",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Captain Marvel,Marvel Lucha Libre Edition","Captain Marvel,Marvel Lucha Libre Edition",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"Carnage,Venom","Carnage,Venom",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Carrie,Carrie,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Cheetos,Cheetos,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Chilling Adventures of Sabrina,Chilling Adventures of Sabrina,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Chris Stapleton,Chris Stapleton,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Cinderella,Disney Villains","Cinderella,Disney Villains",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Clone Wars,Clone Wars,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
"Clone Wars,Star Wars","Clone Wars,Star Wars",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q462
ClownSpy,ClownSpy,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Coca-Cola,Coca-Cola,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Cool Runnings,Cool Runnings,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Cow and Chicken,Cow and Chicken,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Cowboy Bebop,Cowboy Bebop,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Creepshow,Creepshow,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Cricket,Cricket,International / Multiple,Global,,,,,
"Cruella,Disney Villains","Cruella,Disney Villains",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Cypress Hill,Cypress Hill,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Daredevil,Daredevil,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
"DC Comics Bombshells,Harley Quinn","DC Comics Bombshells,Harley Quinn",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"DC Comics Bombshells,Supergirl","DC Comics Bombshells,Supergirl",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"DC Imperial Palace,Dia De Los DC,The Flash","DC Imperial Palace,Dia De Los DC,The Flash",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"DC Imperial Palace,The Flash","DC Imperial Palace,The Flash",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"DCeased,Green Lantern","DCeased,Green Lantern",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Deadmau5,Deadmau5,Canada,North America,60.0,-110.0,Q16,https://www.wikidata.org/wiki/Q16,
Deadpool,Deadpool,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Def Leppard,Def Leppard,United Kingdom,Europe,54.6,-2.0,Q145,https://www.wikidata.org/wiki/Q145,
Demon Slayer,Demon Slayer,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Devo,Devo,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Dia De Los DC,Dia De Los DC,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Dia De Los DC,The Flash","Dia De Los DC,The Flash",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Directors,Jordan Peele","Directors,Jordan Peele",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Directors,Spike Lee","Directors,Spike Lee",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Disney Archives,Minnie Mouse","Disney Archives,Minnie Mouse",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Disney Holiday 2021,Disney Holiday 2021,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Disney Villains,Disney Villains,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Disney Villains,Maleficent,Sleeping Beauty","Disney Villains,Maleficent,Sleeping Beauty",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Disney Villains,Peter Pan","Disney Villains,Peter Pan",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Disney Villains,Snow White","Disney Villains,Snow White",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Disney Villains,The Little Mermaid","Disney Villains,The Little Mermaid",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Disney Villains,The Princess and the Frog","Disney Villains,The Princess and the Frog",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Disney,The Nightmare Before Christmas","Disney,The Nightmare Before Christmas",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Disneyland 65th Anniversary,Disneyland 65th Anniversary,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
DJ Khaled,DJ Khaled,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Doctor Strange,Doctor Strange in the Multiverse of Madness","Doctor Strange,Doctor Strange in the Multiverse of Madness",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Doctor Strange,Spider-Man,Spider-Man No Way Home","Doctor Strange,Spider-Man,Spider-Man No Way Home",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Donald Duck,Donald Duck,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Dr. Seuss,Dr. Seuss,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Dragon Ball Z,Dragon Ball Z,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,https://www.wikidata.org/wiki/Q15051307
Dug Days,Dug Days,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Dumb and Dumber,Dumb and Dumber,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Dune,Dune,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Eastbound & Down,Eastbound & Down,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Elf,Elf,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Elvira,Elvira,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Elvis,Elvis,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Encanto,Encanto,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
ET,ET,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Eternals,Eternals,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Fairy Tail,Fairy Tail,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
"Fantasia,Mickey Mouse","Fantasia,Mickey Mouse",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Fantastic Four,Fantastic Four,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,https://www.wikidata.org/wiki/Q642878
Fire Force,Fire Force,Japan,Asia-Pacific,35.0,136.0,Q17,https://www.wikidata.org/wiki/Q17,
Five Finger Death Punch,Five Finger Death Punch,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Footloose,Footloose,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Formula One Team,Formula One Team,International / Multiple,Global,,,,,
Fortnite,Fortnite,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Frank Zappa,Frank Zappa,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Frasier,Frasier,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Friends,Friends,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Froot Loops,Froot Loops,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Froot Loops,""Kelloggs""","Froot Loops,""Kelloggs""",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
"Frosted Flakes,""Kelloggs""","Frosted Flakes,""Kelloggs""",United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Frozen,Frozen,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
Fruity Pebbles,Fruity Pebbles,United States,North America,39.828175,-98.5795,Q30,https://www.wikidata.org/wiki/Q30,
