Convention,City,Country,Region,Year,Attendance,Latitude,Longitude,CountingMethod,AttendanceSource,CoordinateSource
Comiket,Tokyo,Japan,Asia-Pacific,2019,750000,35.63028,139.79361,Reported total attendance across event days,https://en.wikipedia.org/wiki/Comiket,https://en.wikipedia.org/wiki/Tokyo_Big_Sight
Gamescom,Cologne,Germany,Europe,2019,373000,50.94586,6.97929,Reported visitors,https://www.wikidata.org/wiki/Q66599212,https://www.openstreetmap.org/way/23104999
ChinaJoy,Shanghai,China,Asia-Pacific,2024,367000,31.21111,121.56306,Visitor visits across four days,https://english.shanghai.gov.cn/en-Latest-WhatsNew/20240731/dedccff3b6894730b86eb78d802b22f2.html,https://en.wikipedia.org/wiki/Shanghai_New_International_Expo_Center
Anime Expo,Los Angeles,United States,North America,2019,350000,34.039737,-118.270293,Estimated turnstile attendance across show days,https://www.anime-expo.org/2019/06/21/anime-expo-2019-thrills-fans-japanese-pop-culture-four-day-show-los-angeles/,https://en.wikipedia.org/wiki/Los_Angeles_Convention_Center
Paris Games Week,Paris,France,Europe,2019,317000,48.8319,2.2891,Reported visitors,https://www.parisgamesweek.com/en/exhibit/discover-PGW/PGW-in-a-few-words,https://fr.wikipedia.org/wiki/Paris_Expo_Porte_de_Versailles
CCXP,São Paulo,Brazil,Latin America,2019,280000,-23.64489,-46.62922,Reported visitors,https://s3.us-east-1.amazonaws.com/omeletecompany-production-static/media/ccxp19_release_en.pdf,https://www.openstreetmap.org/way/49734449
Tokyo Game Show,Chiba,Japan,Asia-Pacific,2024,274739,35.64833,140.03472,Total in-person visitors across four days,https://expo.nikkeibp.co.jp/tgs/2024/en/business/pressrelease/,https://en.wikipedia.org/wiki/Makuhari_Messe
Lucca Comics & Games,Lucca,Italy,Europe,2019,270000,43.8,10.5,Reported attendance,https://commons.wikimedia.org/wiki/Data:Lucca_Comics_Attendance.tab,https://www.wikidata.org/wiki/Q1070962
Japan Expo,Villepinte / Paris,France,Europe,2019,252510,48.97222,2.51639,Reported visitors,https://en.wikipedia.org/wiki/Japan_Expo,https://en.wikipedia.org/wiki/Japan_Expo
New York Comic Con,New York City,United States,North America,2019,250000,40.7575,-74.0025,Reported attendance; ticket/day counting,https://www.comicsbeat.com/nycc-21-wrap-up-the-joy-of-community-returns/,https://en.wikipedia.org/wiki/Javits_Center
